ACCESSION	IRa_REPORTED	IRa_REPORTED_START	IRa_REPORTED_END	IRa_REPORTED_LENGTH	IRb_REPORTED	IRb_REPORTED_START	IRb_REPORTED_END	IRb_REPORTED_LENGTH
MW528200	yes	98065	108406	10342	yes	129795	140136	10342
NC_005087	yes	113301	122890	9590	yes	85211	94800	9590
MN264338	yes	115194	125114	9921	yes	86728	96648	9921
NC_035617	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_042174	yes	113560	123464	9905	yes	85223	95127	9905
NC_050394	yes	112327	122500	10174	yes	82144	92317	10174
NC_019628	yes	82509	91600	9092	yes	111455	120546	9092
NC_039590	yes	111904	122050	10147	yes	81697	91843	10147
NC_043783	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MW355440	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_043777	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_049072	yes	114910	124575	9666	yes	86748	96413	9666
MG132071	yes	122339	123512	1174	yes	85151	86324	1174
NC_050974	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MW528408	yes	116643	126323	9681	yes	88070	97750	9681
KY702721	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_043784	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_054293	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_045869	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_012052	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK131349	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_049001	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_043778	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_053275	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_004543	yes	145419	161162	15744	yes	107504	123247	15744
NC_049073	yes	114603	124296	9694	yes	86423	96116	9694
NC_050047	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_051864	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_026212	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MW561627	yes	124548	135214	10667	yes	92780	103446	10667
NC_040133	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_051002	yes	109157	118026	8870	yes	80851	89720	8870
MW147233	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_043786	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_043779	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK952779	yes	114828	124649	9822	yes	86310	96131	9822
NC_049002	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_025668	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_049074	yes	114623	124256	9634	yes	86515	96148	9634
NC_030198	yes	98037	108386	10350	yes	129704	140040	10337
NC_050352	yes	124247	136227	11981	yes	84747	96727	11981
NC_037465	yes	113316	122905	9590	yes	85222	94811	9590
NC_024291	yes	117926	127489	9564	yes	89435	98998	9564
MG762001	yes	80690	90600	9911	yes	110384	120288	9905
NC_042418	yes	112485	122596	10112	yes	82422	92533	10112
NC_010359	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_046056	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LC516510	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_015402	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_026979	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_051003	yes	109776	118797	9022	yes	81143	90164	9022
NC_043787	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_052723	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_043780	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_043785	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_049075	yes	114916	124600	9685	yes	86731	96415	9685
NC_042887	yes	111782	121682	9901	yes	81627	91527	9901
NC_049069	yes	114924	124619	9696	yes	86746	96441	9696
NC_053890	yes	109291	118309	9019	yes	80720	89738	9019
NC_046057	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_044155	yes	114897	124962	10066	yes	86123	96188	10066
NC_042505	yes	110410	120314	9905	yes	80716	90620	9905
NC_043788	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_042479	yes	113156	123040	9885	yes	84832	94716	9885
NC_043781	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_049076	yes	115107	124787	9681	yes	86912	96592	9681
NC_049070	yes	114977	124637	9661	yes	86860	96520	9661
LC035012	yes	111018	121088	10071	yes	81133	91203	10071
MK202952	yes	80707	90611	9905	yes	110400	120304	9905
NC_043789	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
NC_042480	yes	113661	123536	9876	yes	85339	95214	9876
NC_039750	yes	146264	155956	9693	yes	114139	123831	9693
NC_043782	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK087646	yes	107330	122961	15632	yes	145129	160760	15632
NC_037507	yes	110400	120304	9905	yes	80707	90611	9905
NC_049071	yes	115129	124819	9691	yes	86925	96615	9691
